fold,inner,base_id,family,context,smoothing,candidate_id,score
1,1,b00_ctx1,svm_rbf,1,1,b00_ctx1_smooth1,0.3397480732198277
1,1,b00_ctx1,svm_rbf,1,4,b00_ctx1_smooth4,0.3329298673235955
1,1,b00_ctx8,svm_rbf,8,1,b00_ctx8_smooth1,0.34656211640020224
1,1,b00_ctx8,svm_rbf,8,4,b00_ctx8_smooth4,0.3547310766176485
1,1,b01_ctx1,svm_rbf,1,1,b01_ctx1_smooth1,0.3365980583786536
1,1,b01_ctx1,svm_rbf,1,4,b01_ctx1_smooth4,0.33658352164323724
1,1,b01_ctx8,svm_rbf,8,1,b01_ctx8_smooth1,0.3360989528037125
1,1,b01_ctx8,svm_rbf,8,4,b01_ctx8_smooth4,0.3263068290783914
1,1,b02_ctx1,svm_rbf,1,1,b02_ctx1_smooth1,0.3519591141853553
1,1,b02_ctx1,svm_rbf,1,4,b02_ctx1_smooth4,0.34841380162180813
1,1,b02_ctx8,svm_rbf,8,1,b02_ctx8_smooth1,0.34444451272757043
1,1,b02_ctx8,svm_rbf,8,4,b02_ctx8_smooth4,0.34335409497650926
1,1,b03_ctx1,svm_rbf,1,1,b03_ctx1_smooth1,0.3436621039598008
1,1,b03_ctx1,svm_rbf,1,4,b03_ctx1_smooth4,0.3568838712981467
1,1,b03_ctx8,svm_rbf,8,1,b03_ctx8_smooth1,0.33978098396330614
1,1,b03_ctx8,svm_rbf,8,4,b03_ctx8_smooth4,0.33549581735419165
1,1,b04_ctx1,svm_rbf,1,1,b04_ctx1_smooth1,0.34927147983432677
1,1,b04_ctx1,svm_rbf,1,4,b04_ctx1_smooth4,0.3494642267828257
1,1,b04_ctx8,svm_rbf,8,1,b04_ctx8_smooth1,0.33922298353482666
1,1,b04_ctx8,svm_rbf,8,4,b04_ctx8_smooth4,0.3363986230655498
1,1,b05_ctx1,svm_rbf,1,1,b05_ctx1_smooth1,0.3408164485182074
1,1,b05_ctx1,svm_rbf,1,4,b05_ctx1_smooth4,0.3438439193690256
1,1,b05_ctx8,svm_rbf,8,1,b05_ctx8_smooth1,0.33615040775839716
1,1,b05_ctx8,svm_rbf,8,4,b05_ctx8_smooth4,0.3274403847097782
1,1,b06_ctx1,hgb,1,1,b06_ctx1_smooth1,0.35836394353185824
1,1,b06_ctx1,hgb,1,4,b06_ctx1_smooth4,0.3563632311971084
1,1,b06_ctx8,hgb,8,1,b06_ctx8_smooth1,0.3500614805416654
1,1,b06_ctx8,hgb,8,4,b06_ctx8_smooth4,0.3429651859723405
1,1,b07_ctx1,hgb,1,1,b07_ctx1_smooth1,0.3652173576375622
1,1,b07_ctx1,hgb,1,4,b07_ctx1_smooth4,0.37554717732779347
1,1,b07_ctx8,hgb,8,1,b07_ctx8_smooth1,0.3552500999973938
1,1,b07_ctx8,hgb,8,4,b07_ctx8_smooth4,0.34731603755760093
1,1,b08_ctx1,hgb,1,1,b08_ctx1_smooth1,0.3750775656926263
1,1,b08_ctx1,hgb,1,4,b08_ctx1_smooth4,0.3732834943606608
1,1,b08_ctx8,hgb,8,1,b08_ctx8_smooth1,0.3461125903102631
1,1,b08_ctx8,hgb,8,4,b08_ctx8_smooth4,0.35217434086325616
1,1,b09_ctx1,hgb,1,1,b09_ctx1_smooth1,0.3648846045644768
1,1,b09_ctx1,hgb,1,4,b09_ctx1_smooth4,0.3674594976382206
1,1,b09_ctx8,hgb,8,1,b09_ctx8_smooth1,0.35533270497007235
1,1,b09_ctx8,hgb,8,4,b09_ctx8_smooth4,0.3502325434163418
1,1,b10_ctx1,hgb,1,1,b10_ctx1_smooth1,0.3777304110624612
1,1,b10_ctx1,hgb,1,4,b10_ctx1_smooth4,0.3793846990518306
1,1,b10_ctx8,hgb,8,1,b10_ctx8_smooth1,0.3714541861566664
1,1,b10_ctx8,hgb,8,4,b10_ctx8_smooth4,0.365313859157328
1,1,b11_ctx1,hgb,1,1,b11_ctx1_smooth1,0.34336190378445053
1,1,b11_ctx1,hgb,1,4,b11_ctx1_smooth4,0.35113015232031675
1,1,b11_ctx8,hgb,8,1,b11_ctx8_smooth1,0.35133451067545773
1,1,b11_ctx8,hgb,8,4,b11_ctx8_smooth4,0.3497208315661194
1,1,b12_ctx1,qda,1,1,b12_ctx1_smooth1,0.34959655312290205
1,1,b12_ctx1,qda,1,4,b12_ctx1_smooth4,0.3465382902220786
1,1,b12_ctx8,qda,8,1,b12_ctx8_smooth1,0.33659977719095374
1,1,b12_ctx8,qda,8,4,b12_ctx8_smooth4,0.33683443580250066
1,1,b13_ctx1,qda,1,1,b13_ctx1_smooth1,0.35337540109347504
1,1,b13_ctx1,qda,1,4,b13_ctx1_smooth4,0.3530469167528919
1,1,b13_ctx8,qda,8,1,b13_ctx8_smooth1,0.34503130321699316
1,1,b13_ctx8,qda,8,4,b13_ctx8_smooth4,0.3492751893302997
1,1,b14_ctx1,qda,1,1,b14_ctx1_smooth1,0.3434215745794829
1,1,b14_ctx1,qda,1,4,b14_ctx1_smooth4,0.34144391491806503
1,1,b14_ctx8,qda,8,1,b14_ctx8_smooth1,0.3370526286466472
1,1,b14_ctx8,qda,8,4,b14_ctx8_smooth4,0.34138710886853174
1,1,b15_ctx1,fusion_logistic,1,1,b15_ctx1_smooth1,0.3476118461252871
1,1,b15_ctx1,fusion_logistic,1,4,b15_ctx1_smooth4,0.34798338933099926
1,1,b15_ctx8,fusion_logistic,8,1,b15_ctx8_smooth1,0.3446731587882787
1,1,b15_ctx8,fusion_logistic,8,4,b15_ctx8_smooth4,0.3518039135605177
1,1,b16_ctx1,fusion_logistic,1,1,b16_ctx1_smooth1,0.3588484737741147
1,1,b16_ctx1,fusion_logistic,1,4,b16_ctx1_smooth4,0.3502676450523681
1,1,b16_ctx8,fusion_logistic,8,1,b16_ctx8_smooth1,0.3498171245614181
1,1,b16_ctx8,fusion_logistic,8,4,b16_ctx8_smooth4,0.3476919400378835
1,1,b17_ctx1,fusion_logistic,1,1,b17_ctx1_smooth1,0.362573212682715
1,1,b17_ctx1,fusion_logistic,1,4,b17_ctx1_smooth4,0.3508160774066888
1,1,b17_ctx8,fusion_logistic,8,1,b17_ctx8_smooth1,0.34505716399032044
1,1,b17_ctx8,fusion_logistic,8,4,b17_ctx8_smooth4,0.3478850229372102
1,1,b18_ctx1,fusion_logistic,1,1,b18_ctx1_smooth1,0.36444799390124777
1,1,b18_ctx1,fusion_logistic,1,4,b18_ctx1_smooth4,0.35124010689091734
1,1,b18_ctx8,fusion_logistic,8,1,b18_ctx8_smooth1,0.3439601972541836
1,1,b18_ctx8,fusion_logistic,8,4,b18_ctx8_smooth4,0.3438723655736295
1,1,b19_ctx1,fusion_lda,1,1,b19_ctx1_smooth1,0.35794776544200724
1,1,b19_ctx1,fusion_lda,1,4,b19_ctx1_smooth4,0.3526399570693389
1,1,b19_ctx8,fusion_lda,8,1,b19_ctx8_smooth1,0.3438195065756539
1,1,b19_ctx8,fusion_lda,8,4,b19_ctx8_smooth4,0.34822938238866635
1,1,b20_ctx1,fusion_lda,1,1,b20_ctx1_smooth1,0.3452089292580393
1,1,b20_ctx1,fusion_lda,1,4,b20_ctx1_smooth4,0.34710776048824327
1,1,b20_ctx8,fusion_lda,8,1,b20_ctx8_smooth1,0.34542873258464485
1,1,b20_ctx8,fusion_lda,8,4,b20_ctx8_smooth4,0.3496715703181062
1,1,b21_ctx1,fusion_lda,1,1,b21_ctx1_smooth1,0.33785621505617736
1,1,b21_ctx1,fusion_lda,1,4,b21_ctx1_smooth4,0.33717580398778046
1,1,b21_ctx8,fusion_lda,8,1,b21_ctx8_smooth1,0.3405328781450214
1,1,b21_ctx8,fusion_lda,8,4,b21_ctx8_smooth4,0.34649157485261206
